SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
090357.85-004843.4  135.991067  -0.812062   1.4039  19.883  0.039   19.756  0.021   19.573  0.024   19.486  0.020   19.475  0.059   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.107
090358.37+511603.1  135.993248  51.267531   1.7385  19.528  0.032   19.294  0.018   19.271  0.020   18.997  0.023   18.977  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.080
090358.97+423342.8  135.995717  42.561909   0.8325  18.833  0.028   18.649  0.014   18.562  0.016   18.672  0.024   18.552  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.651
090359.09+532759.3  135.996245  53.466475   1.7811  19.047  0.024   18.870  0.017   18.835  0.018   18.620  0.013   18.556  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.506
090359.14+513246.8  135.996418  51.546350   1.8630  19.294  0.033   19.469  0.019   19.449  0.026   19.130  0.022   19.063  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.107
090404.14+055557.4  136.017271  5.932625    0.7843  20.209  0.060   19.917  0.025   19.858  0.029   19.894  0.032   19.572  0.084   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.342
090406.19+591437.4  136.025805  59.243729   0.5896  19.875  0.052   19.332  0.024   19.355  0.023   19.090  0.026   19.176  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.431
090406.21+482057.3  136.025911  48.349274   3.6300  22.090  0.176   20.437  0.042   19.478  0.018   19.453  0.021   19.385  0.053   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.285
090406.93+033315.3  136.028882  3.554267    1.9536  20.438  0.074   20.148  0.019   19.702  0.020   19.224  0.021   18.944  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.153
090408.33+043812.2  136.034726  4.636732    0.5796  19.660  0.031   19.255  0.016   19.268  0.017   19.094  0.016   19.034  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.379
090408.94+065510.1  136.037256  6.919490    1.5860  19.538  0.031   19.357  0.018   19.303  0.023   19.052  0.021   18.966  0.051   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.889
090410.74+004507.4  136.044768  0.752061    1.4324  20.404  0.048   20.307  0.023   19.926  0.021   19.708  0.025   19.522  0.072   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.963
090411.28+555334.8  136.047020  55.893026   2.1876  19.755  0.040   19.290  0.016   19.050  0.016   18.849  0.016   18.556  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.761
090411.87+014524.9  136.049482  1.756941    1.1322  18.984  0.026   18.732  0.017   18.444  0.020   18.396  0.020   18.388  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.738
090412.87+060326.5  136.053663  6.057363    0.9360  18.374  0.024   18.171  0.024   17.983  0.018   18.065  0.015   18.052  0.025   14.141  -9.000  16.427  0.137   15.561  0.100   15.109  0.100   -25.606
090413.09+053534.6  136.054565  5.592970    1.7888  20.305  0.053   20.195  0.034   20.157  0.031   19.969  0.038   20.019  0.103   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.232
090414.16+392440.4  136.059039  39.411240   1.7358  19.071  0.029   18.833  0.029   18.834  0.031   18.695  0.026   18.620  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.383
090414.53+032551.3  136.060564  3.430918    1.2193  19.394  0.036   19.351  0.028   19.146  0.017   19.109  0.022   19.137  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.163
090415.73+025559.6  136.065557  2.933232    1.1503  18.891  0.027   18.787  0.012   18.592  0.013   18.577  0.018   18.595  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.576
090415.78+381525.5  136.065785  38.257105   1.8470  18.479  0.023   18.460  0.022   18.416  0.017   18.143  0.019   18.072  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.085
090417.32-002803.2  136.072168  -0.467573   0.4990  19.581  0.030   19.306  0.018   19.298  0.017   19.074  0.021   18.832  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.032
090417.93+004148.2  136.074747  0.696732    1.6127  19.361  0.026   19.165  0.016   19.043  0.015   18.767  0.015   18.688  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.178
090419.11+004205.0  136.079654  0.701406    1.6407  20.172  0.041   19.907  0.019   19.950  0.021   19.678  0.024   19.819  0.091   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.307
090419.43+350445.9  136.080981  35.079433   0.6566  18.321  0.018   17.946  0.024   17.997  0.022   17.963  0.020   18.007  0.027   0.000   -9.000  16.767  0.158   15.986  0.169   15.152  0.150   -24.807
090420.88+013038.0  136.087025  1.510568    0.7912  17.143  0.013   16.751  0.016   16.610  0.017   16.627  0.013   16.603  0.016   0.000   -9.000  15.473  0.062   15.274  0.078   14.389  0.089   -26.619
090421.35+002001.7  136.088976  0.333807    1.1616  20.322  0.049   20.152  0.021   19.852  0.019   19.964  0.027   19.758  0.107   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.192
090421.52+543824.0  136.089687  54.640009   2.2582  18.292  0.017   17.900  0.013   17.797  0.026   17.822  0.016   17.689  0.019   0.000   -9.000  16.738  0.166   16.190  0.226   15.431  0.186   -27.849
090422.08+061240.7  136.092017  6.211332    1.0934  19.645  0.038   19.013  0.015   18.689  0.013   18.723  0.016   18.670  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.337
090422.71+370607.2  136.094661  37.102018   1.7056  19.228  0.026   19.112  0.026   19.037  0.016   18.700  0.023   18.687  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.346
090423.31+400704.7  136.097127  40.117982   0.4101  17.210  0.011   17.087  0.016   17.121  0.019   17.164  0.016   16.992  0.021   0.000   -0.897  15.997  0.102   15.274  0.110   14.240  0.076   -24.438
090424.20+071015.8  136.100859  7.171072    1.2898  19.445  0.031   19.236  0.020   19.024  0.021   19.007  0.021   19.026  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.452
090426.28+064601.2  136.109513  6.767017    1.6038  19.744  0.041   19.490  0.020   19.487  0.020   19.268  0.024   19.182  0.070   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.694
090427.08+562343.6  136.112858  56.395461   2.0998  20.068  0.059   20.099  0.034   20.164  0.035   20.019  0.048   19.773  0.126   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.491
090427.29+374357.4  136.113739  37.732636   0.1984  18.710  0.025   18.150  0.018   17.733  0.017   17.420  0.015   17.326  0.020   0.000   -9.000  16.126  0.112   15.332  0.125   14.318  0.081   -22.469
090428.82+364357.8  136.120124  36.732740   0.8459  18.680  0.024   18.527  0.019   18.501  0.011   18.568  0.020   18.392  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.800
090429.01+422659.4  136.120905  42.449847   0.2255  18.190  0.023   18.168  0.013   17.989  0.016   17.652  0.022   17.705  0.024   0.000   -9.000  16.478  0.097   15.548  0.096   14.570  0.071   -22.526
090429.59-000416.9  136.123296  -0.071377   0.8449  19.422  0.027   19.256  0.019   19.181  0.018   19.232  0.020   19.086  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.160
090430.44-000026.9  136.126852  -0.007474   1.9068  20.212  0.044   20.129  0.023   20.085  0.025   19.891  0.027   19.839  0.099   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.436
090431.84+413903.4  136.132690  41.650955   1.5769  18.814  0.020   18.649  0.021   18.675  0.025   18.414  0.022   18.501  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.425
090432.04+491722.1  136.133523  49.289494   0.3594  18.619  0.022   18.678  0.019   18.552  0.027   18.508  0.016   17.931  0.021   0.000   -1.637  16.831  0.175   15.779  0.194   15.079  0.118   -22.783
090432.11+591620.3  136.133812  59.272326   0.8267  19.566  0.040   19.202  0.020   18.969  0.018   18.906  0.023   18.758  0.056   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.437
090432.19+553830.1  136.134165  55.641718   0.2687  18.538  0.024   18.603  0.026   18.500  0.017   18.372  0.025   17.923  0.024   0.000   -9.000  16.330  0.129   15.526  0.131   14.599  0.100   -22.225
090432.86+420122.0  136.136937  42.022786   1.5378  19.209  0.051   18.950  0.037   18.910  0.017   18.683  0.020   18.693  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.098
090433.31+071032.9  136.138823  7.175824    1.2936  19.880  0.039   19.903  0.023   19.578  0.024   19.485  0.027   19.574  0.101   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.978
090435.96+060033.6  136.149841  6.009354    0.9909  20.014  0.043   19.888  0.027   19.704  0.026   19.846  0.028   19.754  0.090   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.963
090436.36+510728.0  136.151505  51.124468   1.4085  18.933  0.025   19.049  0.017   18.878  0.019   18.794  0.023   18.841  0.038   14.272  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.789
090437.00+434927.4  136.154194  43.824291   0.4500  18.928  0.032   18.617  0.021   18.587  0.022   18.480  0.018   18.322  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.340
090438.10+483650.8  136.158750  48.614128   1.1516  18.906  0.026   18.703  0.017   18.432  0.010   18.446  0.016   18.507  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.665
090438.57+054007.7  136.160743  5.668829    0.8761  19.488  0.035   19.199  0.022   18.956  0.023   18.898  0.022   18.603  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.600
090439.12+404542.6  136.163028  40.761844   1.1925  19.914  0.038   19.899  0.022   19.626  0.022   19.639  0.025   19.672  0.069   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.541
090440.58+523028.4  136.169099  52.507893   1.7656  18.315  0.027   18.331  0.015   18.256  0.017   17.979  0.018   17.916  0.022   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.133
090440.64+535038.8  136.169356  53.844117   4.2711  23.684  0.701   21.420  0.042   19.713  0.022   19.225  0.026   19.092  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.846
090441.80+351628.0  136.174188  35.274447   0.5091  18.920  0.023   18.538  0.021   18.592  0.017   18.427  0.022   18.316  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.723
090441.86+003918.7  136.174448  0.655213    2.0216  19.907  0.034   19.915  0.024   19.935  0.022   19.518  0.022   19.378  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.943
090442.01+570126.4  136.175049  57.024024   1.7159  19.533  0.045   19.375  0.023   19.283  0.023   19.047  0.022   18.961  0.064   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.015
090442.47+411459.8  136.176992  41.249969   0.7547  20.335  0.044   20.139  0.021   20.080  0.023   19.973  0.027   19.686  0.105   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.100
090442.50+415906.0  136.177118  41.985008   4.0919  24.645  1.203   21.294  0.063   19.626  0.023   19.397  0.024   19.240  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.582
090442.60+532314.0  136.177537  53.387242   0.7647  19.635  0.034   19.271  0.017   19.208  0.019   19.203  0.021   19.055  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.899
090443.29+370311.2  136.180389  37.053132   2.6288  19.855  0.037   19.037  0.023   19.016  0.017   19.002  0.020   18.751  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.032
090443.74+532716.0  136.182258  53.454452   1.3108  18.570  0.026   18.448  0.015   18.246  0.016   18.207  0.016   18.318  0.027   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.193
090443.90+000622.3  136.182923  0.106217    2.1354  18.950  0.021   18.883  0.106   18.758  0.018   18.681  2.542   18.356  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.905
090446.15+560806.0  136.192311  56.135007   1.8752  19.083  0.044   19.095  0.020   19.144  0.020   18.973  0.020   19.050  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.283
090447.25+591937.8  136.196880  59.327169   1.8459  20.201  0.059   20.245  0.026   20.197  0.030   19.816  0.032   19.727  0.086   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.440
090447.80+041311.5  136.199202  4.219887    1.5455  19.439  0.034   19.147  0.020   18.822  0.016   18.503  0.017   18.484  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.342
090450.42+382008.5  136.210120  38.335698   0.9853  19.048  0.037   18.977  0.016   18.821  0.018   18.926  0.023   18.876  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.815
090450.55+581541.4  136.210656  58.261509   1.0663  20.047  0.052   20.105  0.024   19.793  0.023   19.879  0.033   20.146  0.145   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.064
090451.22+401757.7  136.213444  40.299382   2.2313  20.320  0.044   19.917  0.018   19.837  0.020   19.734  0.025   19.553  0.054   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.918
090451.60+054638.8  136.215009  5.777466    1.4821  20.524  0.064   20.385  0.030   20.169  0.033   19.877  0.033   19.687  0.081   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.884
090452.23+041624.3  136.217628  4.273426    1.5911  20.062  0.047   19.631  0.021   19.313  0.018   19.037  0.018   18.923  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.879
090452.90+412045.0  136.220430  41.345857   1.1733  19.630  0.030   19.444  0.018   19.334  0.019   19.351  0.021   19.614  0.085   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.786
090452.98+053347.8  136.220772  5.563284    3.2758  23.009  0.336   20.604  0.028   20.192  0.025   20.254  0.031   20.191  0.110   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.313
090453.02+010529.8  136.220925  1.091630    0.9633  18.788  0.024   18.565  0.021   18.336  0.016   18.343  0.014   18.265  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.364
090453.21+513234.6  136.221739  51.542969   1.2979  19.429  0.033   19.375  0.025   19.255  0.023   19.227  0.031   19.369  0.076   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.161
090453.34+573339.1  136.222274  57.560882   2.1516  20.670  0.065   20.371  0.043   20.294  0.039   20.329  0.048   19.849  0.111   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.255
090453.77+381030.8  136.224043  38.175231   2.3922  19.054  0.028   18.325  0.022   18.337  0.017   18.380  0.025   18.160  0.049   0.000   -9.000  16.310  0.098   15.940  0.157   15.220  0.121   -27.437
090454.24+441554.1  136.226007  44.265046   3.8431  24.796  1.299   20.904  0.034   19.444  0.020   19.505  0.025   19.532  0.065   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.348
090454.87+371753.4  136.228656  37.298186   0.8124  19.324  0.031   19.047  0.021   19.117  0.020   19.364  0.024   19.246  0.104   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.904
090455.00+511444.6  136.229192  51.245724   0.2246  16.823  0.017   16.873  0.013   16.918  0.016   16.647  0.020   16.795  0.022   0.000   -1.047  16.161  0.101   15.238  0.110   14.548  0.083   -23.517
090455.38+511706.0  136.230752  51.285009   0.8947  20.325  0.047   19.779  0.018   19.299  0.019   19.124  0.024   18.755  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.368
090456.74+441316.4  136.236450  44.221236   2.0332  19.850  0.041   19.489  0.018   19.234  0.019   19.097  0.020   18.968  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.340
090457.57+562405.7  136.239876  56.401595   0.6548  19.873  0.038   19.408  0.029   19.291  0.031   19.020  0.042   18.906  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.717
090457.64+043141.0  136.240203  4.528079    0.4844  20.042  0.053   19.575  0.028   19.329  0.025   19.137  0.020   19.055  0.051   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.916
090457.81+513049.6  136.240888  51.513782   1.4158  18.153  0.024   18.088  0.017   18.016  0.022   17.976  0.018   18.114  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.619
090458.20+032640.9  136.242524  3.444696    0.8397  20.506  0.064   20.214  0.023   20.134  0.026   20.142  0.038   19.770  0.112   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.235
090458.51+504805.7  136.243801  50.801592   1.8028  19.226  0.033   19.055  0.016   19.062  0.024   18.852  0.024   18.853  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.322
090458.87+570802.7  136.245296  57.134084   1.9917  20.228  0.079   20.153  0.027   19.963  0.033   19.736  0.037   19.293  0.082   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.668
